away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,10,4,11,4,2009-12-05,2,12,4,23,4,3.6,3.3,2.1,A
3,14,4,22,3,2009-12-05,3,10,6,23,1,3.1,3.25,2.38,H
2,22,4,15,4,2009-12-06,3,13,4,15,3,2.5,3.25,2.88,D
2,17,4,15,4,2009-12-06,4,15,3,11,3,3.6,3.3,2.1,H
4,19,4,24,2,2009-12-12,2,13,3,12,5,3.6,3.3,2.1,H
7,18,1,16,2,2009-12-12,3,12,5,22,2,1.8,3.6,4.5,D
4,15,2,9,4,2009-12-12,2,17,5,24,3,2.75,3.25,2.63,D
4,12,4,17,2,2009-12-12,0,25,3,7,7,15.0,5.5,1.25,D
2,12,4,20,4,2009-12-12,3,12,4,21,3,2.6,3.25,2.8,D
5,17,2,11,3,2009-12-12,1,23,2,10,7,7.0,4.2,1.5,A
2,13,5,26,3,2009-12-12,4,9,3,11,3,3.6,3.3,2.1,D
1,10,6,13,3,2009-12-12,2,13,5,15,3,4.75,3.5,1.8,D
3,11,5,21,2,2009-12-12,3,23,3,14,4,13.0,5.75,1.25,A
1,25,2,10,7,2009-12-13,3,18,3,13,4,3.4,3.3,2.2,A
3,10,4,19,3,2009-12-15,2,13,3,12,5,3.4,3.25,2.2,H
4,18,4,22,2,2009-12-15,3,14,5,24,2,3.25,3.3,2.25,H
3,10,5,20,2,2009-12-15,1,19,3,8,6,19.0,7.0,1.17,H
5,17,1,9,4,2009-12-15,3,13,4,13,3,2.5,3.3,2.88,A
1,23,2,11,7,2009-12-16,3,15,5,24,2,1.5,4.2,7.0,D
2,11,5,12,3,2009-12-16,1,25,3,10,6,19.0,8.0,1.14,H
3,15,4,24,3,2009-12-16,3,16,4,13,3,11.0,4.75,1.33,H
8,18,0,15,2,2009-12-16,3,23,3,12,4,3.25,3.3,2.25,H
4,11,3,15,3,2009-12-19,2,23,2,12,6,15.0,6.0,1.22,H
4,10,3,12,3,2009-12-19,4,18,1,8,5,9.0,4.33,1.4,H
3,21,3,12,4,2009-12-19,3,9,4,15,3,2.2,3.4,3.3,A
1,20,3,8,6,2009-12-19,5,16,1,9,4,1.57,4.0,6.5,H
3,8,5,13,2,2009-12-19,8,15,1,17,1,7.0,4.0,1.53,H
3,12,4,13,3,2009-12-19,2,12,5,13,3,1.62,4.0,5.5,H
2,14,2,11,6,2009-12-20,5,14,4,20,1,4.5,3.5,1.83,D
1,26,2,8,7,2009-12-20,3,17,5,23,2,1.4,4.5,8.5,D
4,16,4,20,2,2009-12-20,3,8,5,18,2,3.6,3.3,2.1,H
2,25,2,9,6,2009-12-26,3,14,1,10,6,1.57,3.8,6.5,D
3,15,5,24,2,2009-12-26,4,14,5,21,1,3.0,3.3,2.38,D
2,21,3,10,5,2009-12-26,4,17,1,7,5,2.5,3.4,2.8,D
3,10,4,17,3,2009-12-26,3,12,4,13,3,11.0,5.5,1.29,H
4,10,3,11,3,2009-12-26,7,18,1,19,2,7.5,4.33,1.44,H
5,14,4,20,1,2009-12-26,2,9,6,15,2,3.0,3.3,2.38,D
2,13,5,13,3,2009-12-26,4,17,4,22,2,3.6,3.3,2.1,H
3,6,5,15,2,2009-12-26,3,13,5,25,2,3.2,3.25,2.3,D
4,17,1,7,5,2009-12-27,2,20,2,10,6,5.0,3.5,1.73,H
0,18,4,9,6,2009-12-27,4,9,4,17,2,1.4,4.2,8.0,A
3,9,6,16,1,2009-12-28,4,7,4,11,2,3.6,3.3,2.1,D
5,15,1,7,4,2009-12-28,3,24,1,7,6,10.0,4.5,1.36,H
5,13,4,19,1,2009-12-28,5,14,4,20,1,6.5,3.8,1.57,H
4,13,0,7,6,2009-12-28,3,9,4,12,3,3.0,3.25,2.4,A
3,17,4,20,3,2009-12-28,3,19,3,9,4,8.0,4.2,1.44,H
6,19,1,18,3,2009-12-28,2,9,5,18,3,1.8,3.6,4.5,A
3,14,3,12,4,2009-12-29,3,16,2,9,5,2.6,3.25,2.8,A
4,10,4,18,2,2009-12-29,3,14,5,23,2,4.75,3.6,1.8,D
4,13,4,24,2,2009-12-30,0,19,4,9,6,15.0,6.5,1.2,H
2,20,2,9,6,2009-12-30,2,12,5,13,3,1.53,4.0,6.5,A
4,14,2,7,4,2010-01-05,3,7,5,12,2,2.75,3.25,2.63,H
5,14,3,17,2,2010-01-09,1,22,2,8,7,8.5,4.5,1.4,D
0,24,3,7,7,2010-01-09,4,12,0,6,6,1.62,3.6,6.5,D
5,9,3,11,2,2010-01-11,5,20,1,16,4,8.0,4.33,1.44,H
4,10,5,16,1,2010-01-16,3,21,1,8,6,15.0,6.0,1.22,H
4,24,1,17,5,2010-01-16,5,15,3,18,2,2.5,3.25,2.88,H
5,12,4,18,1,2010-01-16,1,23,3,8,6,17.0,7.0,1.17,H
3,13,3,12,4,2010-01-16,3,9,5,14,2,2.2,3.2,3.5,D
4,12,4,20,2,2010-01-16,3,21,2,8,5,11.0,6.0,1.25,D
3,12,5,28,2,2010-01-16,1,8,6,20,3,3.2,3.25,2.3,A
2,15,5,20,3,2010-01-17,2,15,3,9,5,7.0,3.8,1.53,D
4,13,3,9,3,2010-01-17,5,7,4,14,1,3.0,3.25,2.4,H
2,21,2,10,6,2010-01-17,4,15,4,23,2,1.53,4.0,6.5,A
4,12,5,23,1,2010-01-20,2,19,2,9,6,17.0,5.5,1.22,H
4,21,1,5,5,2010-01-20,4,13,2,10,4,3.0,3.25,2.4,H
5,12,3,18,2,2010-01-23,1,26,2,7,7,15.0,6.5,1.14,H
5,10,5,21,0,2010-01-26,4,14,5,23,1,4.5,3.6,1.8,H
3,13,5,19,2,2010-01-26,1,13,6,17,3,2.88,3.25,2.5,D
3,12,4,10,3,2010-01-26,4,19,2,7,4,6.5,3.75,1.57,H
3,13,2,8,5,2010-01-26,0,6,7,20,3,1.67,3.6,5.5,D
2,23,1,10,7,2010-01-27,3,14,2,7,5,2.3,3.25,3.2,D
3,11,5,27,2,2010-01-27,5,7,4,14,1,4.0,3.4,1.95,H
4,13,0,7,6,2010-01-27,3,24,1,10,6,15.0,6.0,1.22,H
3,10,6,21,1,2010-01-27,5,15,3,17,2,5.5,3.6,1.67,H
4,12,2,6,4,2010-01-30,3,11,1,8,6,2.38,3.25,3.1,D
3,26,1,10,6,2010-01-30,4,7,6,19,0,1.29,5.0,13.0,A
4,9,2,6,4,2010-01-30,3,12,4,11,3,2.7,3.2,2.7,A
1,5,6,16,3,2010-01-30,5,10,4,21,1,3.25,3.25,2.25,D
4,14,4,18,2,2010-01-30,3,11,2,6,5,7.5,4.33,1.44,H
5,9,3,12,2,2010-01-30,4,13,4,18,2,3.6,3.3,2.1,D
5,17,2,14,3,2010-01-30,3,12,5,25,2,2.38,3.3,3.0,A
1,27,2,7,7,2010-01-31,3,23,0,7,7,2.8,3.25,2.6,A
2,10,6,18,2,2010-01-31,3,21,2,16,5,13.0,5.0,1.29,H
3,8,5,13,2,2010-02-01,3,10,6,21,1,3.8,3.4,2.0,D
3,24,1,11,6,2010-02-02,5,9,4,20,1,1.29,5.0,13.0,D
2,9,6,17,2,2010-02-03,3,9,5,13,2,6.0,3.5,1.67,H
2,9,5,12,3,2010-02-06,4,14,4,18,2,3.25,3.3,2.25,D
4,10,4,15,2,2010-02-06,3,7,7,20,0,2.8,3.25,2.6,H
2,21,2,14,6,2010-02-06,6,7,4,19,0,1.73,3.4,5.5,H
5,16,1,11,4,2010-02-06,3,11,2,6,5,4.33,3.5,1.83,H
2,9,6,17,2,2010-02-06,1,26,2,7,7,23.0,8.5,1.13,H
5,9,3,12,2,2010-02-06,4,7,4,11,2,3.4,3.1,2.3,H
2,11,6,25,2,2010-02-06,4,9,6,21,0,3.8,3.4,2.0,D
3,10,2,5,5,2010-02-06,4,12,2,6,4,3.6,3.3,2.1,D
2,7,5,14,3,2010-02-07,4,11,1,9,5,5.0,3.4,1.8,H
3,22,1,10,6,2010-02-07,4,22,1,12,5,4.5,3.6,1.8,H
3,6,6,16,1,2010-02-09,3,8,5,12,2,5.25,3.5,1.73,H
4,13,4,17,2,2010-02-09,1,21,3,15,6,8.0,4.2,1.44,H
5,10,5,21,0,2010-02-09,2,8,6,18,2,3.0,3.25,2.4,D
4,9,4,11,2,2010-02-09,3,11,5,17,2,3.4,3.3,2.2,D
2,12,2,6,6,2010-02-10,3,20,2,11,5,3.6,3.3,2.1,H
1,27,2,7,7,2010-02-10,3,9,2,4,5,1.91,3.5,4.2,D
5,8,4,19,1,2010-02-10,4,9,4,15,2,4.5,3.5,1.83,H
4,23,0,10,6,2010-02-10,5,16,1,10,4,1.73,3.6,5.0,H
4,12,1,10,5,2010-02-10,4,6,5,14,1,3.25,3.3,2.25,H
4,10,2,4,4,2010-02-10,2,8,5,15,3,1.91,3.4,4.2,H
1,21,3,14,6,2010-02-16,4,10,4,12,2,2.38,3.2,3.1,D
4,12,4,17,2,2010-02-17,4,11,5,18,1,3.2,3.25,2.3,D
6,11,4,21,0,2010-02-20,2,20,2,10,6,15.0,6.0,1.22,H
2,28,1,7,7,2010-02-20,4,16,1,9,5,1.8,3.6,4.5,H
5,11,3,11,2,2010-02-20,3,7,6,19,1,3.1,3.25,2.38,A
5,8,4,17,1,2010-02-20,4,8,4,10,2,4.75,3.6,1.75,H
3,21,1,9,6,2010-02-20,2,7,5,14,3,1.3,5.0,12.0,A
3,6,6,17,1,2010-02-21,4,7,2,5,4,10.0,4.5,1.36,H
4,9,4,14,2,2010-02-21,3,10,4,15,3,4.33,3.25,1.95,H
4,9,2,10,4,2010-02-21,2,10,5,11,3,3.75,3.25,2.1,H
2,11,2,5,6,2010-02-21,1,19,3,12,6,3.0,3.3,2.4,D
4,10,2,4,4,2010-02-21,5,9,4,15,1,2.0,3.5,3.75,A
4,11,3,9,3,2010-02-23,2,26,2,10,6,15.0,6.5,1.2,H
4,7,5,16,1,2010-02-27,4,9,3,12,3,4.33,3.3,1.91,H
2,6,6,16,2,2010-02-27,4,6,5,16,1,4.0,3.3,2.0,H
2,7,7,20,1,2010-02-27,2,7,7,21,1,3.8,3.4,2.0,A
2,19,2,9,6,2010-02-27,3,21,1,8,6,7.5,4.33,1.44,A
2,19,2,10,6,2010-02-27,4,11,3,10,3,1.73,3.6,5.0,A
3,12,3,13,4,2010-02-28,3,9,2,4,5,9.0,4.75,1.36,H
2,9,5,12,3,2010-02-28,5,10,5,22,0,3.5,3.2,2.2,D
3,16,1,7,6,2010-02-28,4,10,2,4,4,4.0,3.4,2.0,H
1,7,8,22,1,2010-03-06,2,19,2,11,6,21.0,7.5,1.14,H
3,6,5,15,2,2010-03-06,4,10,3,9,3,4.5,3.5,1.8,A
2,29,1,7,7,2010-03-06,2,6,6,14,2,1.33,5.0,10.0,A
4,8,5,20,1,2010-03-07,2,16,2,8,6,10.0,4.5,1.36,H
3,11,1,3,6,2010-03-08,4,6,5,15,1,1.57,3.8,6.5,H
4,8,3,11,3,2010-03-09,2,8,6,19,2,3.1,3.25,2.38,A
2,6,5,14,3,2010-03-09,6,10,4,20,0,3.75,3.25,2.1,H
4,12,3,12,3,2010-03-10,1,8,8,23,1,2.88,3.3,2.5,D
1,20,2,8,7,2010-03-13,3,9,3,11,4,2.4,3.25,3.0,D
3,6,5,14,2,2010-03-13,2,6,5,16,3,3.6,3.3,2.1,H
2,4,7,15,1,2010-03-13,1,8,8,23,1,3.3,3.3,2.25,A
3,10,4,10,3,2010-03-13,2,22,2,11,6,15.0,6.0,1.22,H
2,18,2,11,6,2010-03-13,4,9,5,22,1,1.4,4.5,7.5,A
4,11,2,7,4,2010-03-13,5,13,2,11,3,2.25,3.25,3.3,D
3,13,3,13,4,2010-03-13,4,10,2,5,4,7.5,4.33,1.44,H
2,9,5,12,3,2010-03-14,2,27,1,6,7,15.0,6.0,1.22,H
2,19,2,8,6,2010-03-14,6,11,3,16,1,2.1,3.4,3.6,D
2,7,7,21,1,2010-03-15,3,9,2,4,5,13.0,5.5,1.25,H
5,9,2,7,3,2010-03-16,3,6,5,13,2,2.1,3.3,3.6,A
3,9,5,14,2,2010-03-20,1,18,2,10,7,13.0,5.75,1.25,H
2,6,6,14,2,2010-03-20,5,10,2,8,3,9.0,4.33,1.4,D
2,8,4,12,4,2010-03-20,2,20,2,10,6,7.0,3.8,1.53,H
4,9,5,21,1,2010-03-20,2,8,7,23,1,3.5,3.2,2.2,H
3,13,2,6,5,2010-03-20,6,13,1,10,3,2.1,3.3,3.6,A
3,11,3,13,4,2010-03-20,6,11,3,16,1,3.5,3.2,2.2,H
1,9,8,23,1,2010-03-20,3,5,6,15,1,5.0,3.6,1.73,H
1,26,2,12,7,2010-03-21,2,13,4,15,4,1.44,4.33,7.5,D
3,18,2,9,5,2010-03-21,2,8,5,13,3,2.38,3.25,3.1,A
3,12,2,5,5,2010-03-21,2,25,1,6,7,5.5,3.75,1.67,H
3,8,5,13,2,2010-03-23,3,9,5,14,2,4.5,3.6,1.8,A
5,12,3,15,2,2010-03-24,6,12,1,7,3,7.0,3.8,1.53,D
3,11,4,16,3,2010-03-24,2,12,4,14,4,4.0,3.25,2.0,H
1,20,2,8,7,2010-03-24,3,17,2,10,5,4.33,3.5,1.83,A
2,25,2,12,6,2010-03-24,2,10,6,21,2,1.3,5.0,12.0,A
1,18,2,10,7,2010-03-27,2,11,5,17,3,1.5,4.2,7.0,D
1,26,1,6,8,2010-03-27,2,7,5,14,3,1.4,4.5,8.5,A
7,13,0,7,3,2010-03-27,2,23,2,10,6,8.0,4.75,1.4,H
2,7,5,12,3,2010-03-27,3,9,6,22,1,3.0,3.25,2.4,H
1,9,7,25,2,2010-03-27,3,13,2,7,5,17.0,6.0,1.2,H
6,11,2,10,2,2010-03-27,2,10,6,17,2,3.6,3.3,2.1,A
1,20,2,8,7,2010-03-27,3,11,4,12,3,2.0,3.4,3.8,D
2,13,3,11,5,2010-03-28,1,9,8,21,1,2.88,3.25,2.5,A
6,11,2,9,2,2010-03-28,2,12,3,6,5,11.0,5.25,1.3,H
3,5,5,13,2,2010-03-29,3,13,3,11,4,11.0,4.75,1.33,H
3,11,4,12,3,2010-04-03,2,15,2,9,6,15.0,6.0,1.22,H
6,14,1,14,3,2010-04-03,2,7,5,16,3,2.5,3.25,2.88,A
3,16,2,9,5,2010-04-03,1,9,8,21,1,1.7,3.8,5.0,A
2,27,2,11,6,2010-04-03,1,27,1,6,8,2.75,3.2,2.63,A
2,12,3,11,5,2010-04-03,1,9,7,25,2,2.25,3.3,3.3,D
2,11,6,22,2,2010-04-03,5,11,2,9,3,4.5,3.5,1.8,H
2,15,2,7,6,2010-04-03,6,11,2,10,2,2.1,3.3,3.6,H
2,13,3,6,5,2010-04-04,3,12,4,15,3,1.83,3.5,4.5,D
1,9,7,17,2,2010-04-04,2,18,2,8,6,7.5,4.33,1.44,D
3,5,5,15,2,2010-04-04,2,7,5,12,3,3.8,3.4,2.0,H
1,9,8,25,1,2010-04-10,2,11,6,20,2,5.0,3.6,1.73,A
5,14,2,11,3,2010-04-10,1,11,7,19,2,3.8,3.4,2.0,H
1,24,2,8,7,2010-04-11,3,10,3,10,4,1.53,4.0,6.5,D
2,9,4,11,4,2010-04-11,2,14,3,7,5,13.0,5.0,1.29,D
3,12,4,15,3,2010-04-11,3,20,2,10,5,8.5,4.5,1.4,H
4,13,2,9,4,2010-04-11,2,9,5,11,3,3.2,3.25,2.3,D
1,7,6,17,3,2010-04-13,2,27,2,11,6,19.0,8.0,1.14,H
3,19,2,10,5,2010-04-14,5,15,1,14,4,3.3,3.3,2.25,D
1,16,2,9,7,2010-04-14,2,16,2,8,6,2.25,3.3,3.25,H
2,9,6,24,2,2010-04-14,2,5,6,16,2,6.5,3.8,1.57,D
1,10,7,22,2,2010-04-17,3,11,5,19,2,5.0,3.6,1.73,D
4,21,1,11,5,2010-04-17,3,10,3,10,4,2.6,3.25,2.8,A
3,8,4,9,3,2010-04-17,3,9,3,9,4,3.75,3.25,2.1,D
2,21,2,7,6,2010-04-17,3,24,1,9,6,2.4,3.5,2.88,A
1,7,6,16,3,2010-04-17,5,10,2,9,3,3.75,3.25,2.1,A
1,11,8,25,1,2010-04-17,4,13,3,11,3,6.0,3.75,1.62,H
1,27,2,10,7,2010-04-17,2,16,2,9,6,1.91,3.6,4.0,H
6,15,1,16,3,2010-04-18,3,9,5,19,2,1.67,3.75,5.5,A
1,16,2,8,7,2010-04-18,2,4,6,15,2,1.53,4.0,6.5,H
1,11,6,17,3,2010-04-19,3,12,3,7,4,10.0,5.0,1.33,H
5,17,1,17,4,2010-04-21,1,9,7,21,2,2.1,3.4,3.5,A
3,22,2,10,5,2010-04-24,1,18,2,9,7,3.75,3.5,2.0,D
2,9,6,20,2,2010-04-24,0,9,6,17,4,6.5,4.0,1.53,D
3,14,3,11,4,2010-04-24,1,7,8,22,1,3.0,3.4,2.38,A
1,17,2,9,7,2010-04-24,2,17,2,7,6,7.0,4.2,1.5,H
1,7,6,17,3,2010-04-24,1,9,7,20,2,4.33,3.6,1.83,H
3,12,3,10,4,2010-04-24,4,7,4,9,2,3.4,3.25,2.2,D
4,11,4,17,2,2010-04-25,4,18,1,16,5,6.0,3.75,1.62,H
3,14,3,7,4,2010-04-25,1,12,8,24,1,1.62,4.0,5.5,A
4,10,3,10,3,2010-04-25,1,26,3,12,6,21.0,8.0,1.14,H
4,8,3,9,3,2010-04-25,4,22,1,12,5,10.0,4.5,1.36,H
1,10,8,23,1,2010-05-01,4,10,4,16,2,7.0,4.2,1.5,H
4,14,1,14,5,2010-05-01,3,21,2,9,5,4.33,3.6,1.83,H
5,8,3,8,2,2010-05-01,3,10,5,20,2,3.1,3.25,2.38,H
4,21,1,12,5,2010-05-01,3,9,4,16,3,2.1,3.3,3.6,D
1,11,5,16,4,2010-05-01,0,18,3,12,7,10.0,5.5,1.29,H
1,9,7,22,2,2010-05-02,3,9,4,11,3,3.1,3.25,2.38,H
1,32,2,10,7,2010-05-02,3,18,2,6,5,1.83,3.8,4.0,A
1,19,2,7,7,2010-05-02,3,15,2,9,5,1.36,4.75,9.5,A
2,17,2,9,6,2010-05-03,4,12,3,11,3,2.1,3.4,3.5,H
1,7,8,22,1,2010-05-03,1,9,6,17,3,4.5,3.6,1.8,D
4,7,4,15,2,2010-05-05,3,9,4,13,3,3.6,3.3,2.1,A
0,19,2,11,8,2010-05-05,2,24,2,10,6,3.8,3.4,2.0,A
3,7,5,13,2,2010-05-09,2,16,3,11,5,13.0,7.0,1.2,H
4,11,3,12,3,2010-05-09,3,15,2,17,5,6.0,4.0,1.57,A
4,11,4,17,2,2010-05-09,1,10,6,17,3,3.3,3.3,2.25,H
0,17,2,11,8,2010-05-09,1,10,8,23,1,1.5,4.2,7.0,H
2,11,5,18,3,2010-05-09,1,32,2,10,7,23.0,10.0,1.1,H
3,11,5,20,2,2010-05-09,5,20,0,10,5,11.0,5.5,1.29,H
2,18,3,8,5,2010-05-09,2,9,7,21,1,1.57,3.8,6.5,D
4,7,3,12,3,2010-05-09,1,19,1,4,8,23.0,8.0,1.13,H
2,20,3,9,5,2010-05-09,1,11,7,22,2,1.91,3.6,4.0,D
2,15,3,10,5,2010-05-09,5,9,3,10,2,3.25,3.4,2.25,H
2,11,6,21,2,2010-08-14,3,13,3,17,4,4.0,3.3,2.0,H
5,16,0,9,5,2010-08-14,4,11,2,10,4,2.5,3.25,2.88,H
2,7,6,17,2,2010-08-14,1,10,6,17,3,3.4,3.3,2.2,D
4,10,5,18,1,2010-08-14,2,12,4,12,4,3.6,3.3,2.1,D
2,20,3,9,5,2010-08-14,0,17,3,14,7,3.0,3.3,2.4,D
3,6,4,15,3,2010-08-14,5,11,2,10,3,3.2,3.25,2.3,H
2,17,3,10,5,2010-08-15,3,16,3,7,4,2.88,3.25,2.5,D
4,11,1,7,5,2010-08-21,4,10,5,18,1,3.4,3.25,2.2,H
5,11,2,10,3,2010-08-21,4,14,1,8,5,7.0,4.0,1.5,D
1,14,3,13,6,2010-08-21,2,7,5,17,3,2.2,3.3,3.4,A
2,10,5,13,3,2010-08-21,2,10,6,20,2,3.25,3.3,2.25,A
1,40,1,5,8,2010-08-21,2,10,6,26,2,1.22,6.0,15.0,A
1,22,1,4,8,2010-08-22,3,7,5,14,2,1.57,4.0,6.0,D
4,17,2,7,4,2010-08-23,3,18,3,8,4,3.1,3.25,2.38,H
3,19,3,9,4,2010-08-28,3,11,2,8,5,1.57,4.0,6.0,A
2,7,5,17,3,2010-08-28,0,45,1,4,9,23.0,9.0,1.11,H
2,11,6,21,2,2010-08-28,2,21,1,6,7,19.0,8.0,1.14,H
2,9,6,30,2,2010-08-28,1,14,3,13,6,13.0,5.75,1.25,A
5,13,1,9,4,2010-08-29,1,13,4,20,5,2.88,3.25,2.5,H
4,11,4,16,2,2010-08-29,2,9,5,14,3,3.6,3.3,2.1,D
3,21,2,6,5,2010-08-29,2,10,5,13,3,1.83,3.5,4.5,H
3,11,4,14,3,2010-09-11,3,19,3,10,4,13.0,5.5,1.25,H
2,22,1,5,7,2010-09-11,5,11,2,10,3,1.91,3.4,4.2,D
6,8,2,9,2,2010-09-11,5,10,3,14,2,4.5,3.5,1.83,H
3,10,3,9,4,2010-09-11,3,18,3,7,4,10.0,5.0,1.33,D
0,42,1,4,9,2010-09-11,2,10,6,21,2,1.33,5.0,10.0,A
1,10,5,12,4,2010-09-11,2,9,6,30,2,2.88,3.25,2.5,D
4,13,2,7,4,2010-09-12,5,12,3,16,2,2.4,3.2,3.1,D
1,13,3,13,6,2010-09-13,2,6,6,19,2,2.88,3.25,2.5,H
3,12,4,14,3,2010-09-18,1,13,4,15,5,4.5,3.6,1.8,D
5,10,3,14,2,2010-09-18,4,10,3,10,3,4.0,3.3,2.0,D
2,11,6,23,2,2010-09-18,2,6,6,20,2,4.2,3.4,1.91,D
2,22,3,10,5,2010-09-18,2,11,4,10,4,1.67,3.7,5.5,D
5,9,3,11,2,2010-09-18,2,12,3,12,5,8.5,4.5,1.4,H
5,10,2,7,3,2010-09-19,3,21,1,8,6,5.5,3.5,1.7,H
4,13,3,7,3,2010-09-19,3,10,5,28,2,1.73,3.6,5.0,A
3,9,5,28,2,2010-09-25,4,11,4,17,2,4.5,3.5,1.83,D
4,12,3,12,3,2010-09-25,5,11,3,15,2,2.63,3.2,2.75,D
3,9,4,10,3,2010-09-25,4,11,3,9,3,7.5,4.33,1.44,D
0,40,1,3,9,2010-09-25,4,10,3,6,3,2.1,3.3,3.6,H
2,13,3,12,5,2010-09-25,2,10,6,22,2,2.1,3.4,3.5,H
3,23,0,8,7,2010-09-26,4,13,3,14,3,1.5,4.0,7.5,D
1,12,4,14,5,2010-09-26,5,10,3,13,2,2.5,3.25,2.88,A
4,10,3,10,3,2010-10-02,5,10,3,12,2,2.63,3.1,2.88,A
3,13,3,12,4,2010-10-02,2,8,5,20,3,3.4,3.2,2.25,H
3,25,0,10,7,2010-10-02,4,11,3,11,3,1.75,3.5,5.0,D
1,12,4,14,5,2010-10-02,2,11,4,12,4,4.0,3.5,1.91,H
5,11,3,15,2,2010-10-02,2,10,6,22,2,3.3,3.25,2.25,D
4,11,4,15,2,2010-10-02,3,9,5,28,2,3.3,3.25,2.25,H
3,23,3,12,4,2010-10-03,0,39,2,4,8,5.0,3.6,1.73,H
4,10,4,14,2,2010-10-16,3,21,3,11,4,11.0,5.5,1.29,H
0,40,1,2,9,2010-10-16,1,11,5,16,4,1.73,3.6,5.0,D
2,9,4,13,4,2010-10-16,6,14,2,15,2,3.5,3.2,2.2,H
2,12,3,10,5,2010-10-16,6,11,2,14,2,2.5,3.25,2.88,A
3,11,5,20,2,2010-10-16,3,11,5,17,2,3.4,3.2,2.25,D
4,11,4,13,2,2010-10-17,4,9,3,8,3,3.0,3.25,2.4,H
5,9,3,10,2,2010-10-18,3,11,3,10,4,3.6,3.3,2.1,D
3,11,5,17,2,2010-10-23,1,33,1,2,8,19.0,8.5,1.13,H
2,10,5,16,3,2010-10-23,6,8,3,10,1,3.0,3.25,2.4,H
4,9,3,7,3,2010-10-23,2,13,3,11,5,3.75,3.25,2.1,D
